latitude,longitude,wellstatus
0.940726324123316,0.394607307702272,Idle
0.576763774454446,0.617691565127985,Idle
0.844866257898168,0.451582258197316,Idle
0.875712251275648,0.312043669088387,Idle
0.878289072467698,0.731603693840886,Idle
0.89950990028227,0.707412480969576,Idle
0.902288840679613,0.706808174038902,Idle
0.909109800944519,0.474149411662645,Idle
0.535059602269023,0.590495055227002,Idle
0.9291432777657,0.583378174038901,Idle
0.651352483063728,0.439741589880471,Idle
0.845409403593534,0.491183347306215,Idle
0.867324966507424,0.629853273048797,Idle
0.322454834057096,0.284434312652765,Idle
0.895437085712737,0.429863867108207,Idle
0.866200794322009,0.188708075028983,Idle
0.939576853924656,0.417797654236922,Idle
0.937644238030607,0.415550377009196,Idle
0.839156853924653,0.221472926514141,Idle
0.913316092335252,0.693815550276506,Idle
0.917269734719352,0.403199807702272,Idle
0.468802814189537,0.328548842355727,Idle
0.38220158902398,0.388337604731949,Idle
0.940802118825315,0.39188792651415,Idle
0.278093211540537,0.331268223543849,Idle
0.944556291010752,0.566009906712167,Idle
0.941774734719341,0.171844089880456,Idle
0.681238476441207,0.389753941365632,Plugged
0.758997681739222,0.179190228494344,Plugged
0.886032151937897,0.248005847306199,Plugged
0.673129105580276,0.315933891860671,Plugged
0.758113476441198,0.310702852256725,Idle
0.76177658902398,0.310476243345815,Idle
0.340682019487568,0.291025055227019,Idle
0.591542582401477,0.573973619583434,Idle
0.867767085712718,0.185120005722055,Plugged
0.942671555911414,0.166310896811155,Idle
0.531694767831935,0.592216169088387,Idle
0.842478940017363,0.175772109682456,Idle
0.840988410216045,0.177603916613161,Idle
0.770012317500813,0.281110624533934,Idle
0.562629204918024,0.107730748296317,Idle
0.360601820812066,0.301959263147801,Idle
0.615226555911393,0.578411515623053,Plugged
0.6065613572359,0.580564362157688,Idle
0.829102218163063,0.196941787900289,Idle
0.569184900282271,0.63143958492998,Idle
0.647741721474325,0.386997530474536,Idle
0.795313112202802,0.112414139385422,Idle
0.631715231408095,0.398188124533934,Idle
0.570632449951135,0.128044560177492,Idle
0.252582781076977,0.358653471068575,Idle
0.387468906904787,0.557071862157719,New
0.859405065845176,0.247458198791358,Plugged
0.865695529421326,0.24902562453393,Plugged
0.845699933394852,0.249138916613137,Plugged
0.852988277765709,0.2630002532468,Plugged
0.862626092335251,0.246381763147793,Plugged
0.851283045977635,0.265738520573533,Plugged
0.852634602269026,0.268439015623044,Plugged
0.855704039355101,0.240168718593338,Plugged
0.765262880414713,0.478247381959687,Idle
0.765288145315372,0.478322926514132,Idle
0.768774436706105,0.478266268098298,Plugged
0.734341092335234,0.528688248296311,Active
0.734151622136575,0.5286693621577,Idle
0.734555827434576,0.5286693621577,Active
0.73456847644121,0.502306416613143,Plugged
0.756761920149807,0.501607678989378,Plugged
0.799165694984243,0.417703223543831,Plugged
0.799140430083584,0.412245550276516,Plugged
0.791561555911409,0.447012183939879,Plugged
0.791738410216044,0.440213718593361,Plugged
0.78567529763326,0.455151466118094,Plugged
0.796374138692851,0.422008916613136,Plugged
0.783161655249161,0.434642753246803,Plugged
0.788416324123334,0.481816565128005,Plugged
0.794252052600143,0.482307579979471,Plugged
